Link, Description, DateTime, Status
https://www.snapdeal.com/product/hp-notebook-amd-apu-e1/669922187189,HP 15-bu003tu Laptop (6th Gen Intel Core i3- 4GB RAM- 1TB HDD- 39.62cm(15.6)- DOS) (Black),44:23.2,200
https://www.snapdeal.com/product/dell-15-3568-notebook-intel/651817715182,Dell 15 3568 Notebook Intel Celeron 4 GB 38.1cm(15) Linux/Ubuntu 1 GB Black,44:23.8,200
https://www.snapdeal.com/product/hp-pavilion-hp-15bw098au-netbook/629489719200,HP Pavilion 15BW098AU Netbook AMD APU A6 4 GB 39.62cm(15.6) DOS Not Applicable Black,44:24.2,200
https://www.snapdeal.com/product/lenovo-g5080-notebook-80e503g1in-5th/655137626663,Lenovo Ideapad 80T700EMIH (Pentium Quad Core- 4GB RAM- 500GB HDD- 39.62cm(15.6)- DOS) (Black),44:24.9,200
https://www.snapdeal.com/product/asus-x-series-x541na-go125t/649364981941,Asus X Series X541NA - GO125T Notebook Intel Pentium 4 GB 39.62cm(15.6) Windows 10 Home without MS Office Not Applicable SILVER,44:26.1,200
https://www.snapdeal.com/product/lenovo-ideapad-80xh01gkin-notebook-core/627377233462,Lenovo Ideapad 320E 80XH01GKIN Notebook (6th Gen Intel Core i3- 4GB RAM- 1TB HDD- 39.62cm(15.6)- DOS) (Black),44:27.5,200
https://www.snapdeal.com/product/iball-compbook-exemplaire-notebook-intel/642208106293,iBall CompBook- Exemplaire Notebook (Intel Atom- 2GB RAM- 32 GB eMMC- 35.56 cm (14)- Windows 10) (Brown),44:28.3,200
https://www.snapdeal.com/product/lenovo-ideapad-80xh01gein-notebook-core/620909843871,Lenovo Ideapad 320E Notebook (6th Gen Intel Core i3- 4GB RAM- 1TB HDD- 39.62cm(15.6)- DOS) (Black),44:29.3,200
https://www.snapdeal.com/product/hp-15-bg003au-notebook-amd/681982727463,HP 15-bg003au Notebook (AMD APU E2- 4GB RAM- 500GB HDD- 39.62 cm (15.6)- DOS) (Silver),44:30.0,200
https://www.snapdeal.com/product/micromax-canvas-l1161-lapbook-intel/661756382388,Micromax Canvas Lapbook L1161 11.6-inch Laptop (Intel Atom/2GB/32GB/Windows 10),44:30.8,200
https://www.snapdeal.com/product/dell-vostro-a553505uin9-notebook-core/652175121055,Dell Vostro 3568/ Core I5 7th gen/ 8gb/ 1Tb/ 15.6,44:31.6,200
https://www.snapdeal.com/product/acer-15-es152320dg-notebook-amd/647071864462,Acer 15 ES1-523-20DG (AMD E1 (7th gen)-4 GB RAM-1TB HDD- 39.62cm(15.6)-DOS) (Black),44:32.3,200
https://www.snapdeal.com/product/dell-vostro-3568-notebook-core/665694388848,Dell Vostro 3568 Notebook (6th Gen Intel Core i3- 4GB RAM- 1TB HDD- 39.62cm (15.6)- Linux) (Black),44:33.2,200
https://www.snapdeal.com/product/lenovo-15-v11080tl016lih-notebook-core/636256501387,Lenovo 15 V110-80TL016LIH Notebook (6th Gen Intel Core i3- 4GB RAM- 1TB HDD- 39.62cm(15.6)- DOS) (Black),44:34.0,200
https://www.snapdeal.com/product/hp-g-series-245-g5/646577321413,HP G Series 245 G5 E2-7110 Notebook AMD APU E2 4 GB 35.56cm(14) DOS Not Applicable Black,44:34.7,200
https://www.snapdeal.com/product/hp-14-14bs583tu-notebook-core/627681979951,HP 14 14-bs583TU Notebook Core i3 (6th Generation) 4 GB 35.56cm(14) DOS Not Applicable Grey,44:35.5,200
https://www.snapdeal.com/product/lenovo-ideapad-lenovo-ip-310/679839376663,Lenovo Ideapad ip 310 Notebook Core i3 (6th Generation) 4 GB 39.62cm(15.6) DOS 2 GB Silver,44:36.3,200
https://www.snapdeal.com/product/acer-aspire-e55753203-notebook-core/636888164668,Acer Aspire E5-575-3203 Notebook Core i3 (6th Generation) 4 GB 39.62cm(15.6) Linux BLACK,44:37.3,200
https://www.snapdeal.com/product/iball-compbook-excelanceohd-notebook-intel/636356617959,iBall Compbook Excelance with OHD Notebook (Intel Atom- 2GB RAM- 32GB eMMC- 29.46cm(11.6)- Windows 10) (Brown),44:38.3,200
https://www.snapdeal.com/product/lenovo-ideapad-80t700emih-notebook-intel/672152487615,Lenovo Ideapad 80T700EMIH Notebook Intel Pentium 4 GB 39.62cm(15.6) DOS Not Applicable Black,44:39.6,200
